Org Name,Organization Type,HQ Related Organization,Org Contacts,Long Name / Description,Website URL,Project Name,Full Name,Sub / HQ,Resources,"Industry ",Track Record,Charlottesville?,Virginia?
The V Foundation for Cancer Research,Funding Source,,,"A nonprofit founded by ESPN and Jim Valvano, dedicated to funding innovative cancer research. The foundation awards competitive grants to researchers focused on early-stage, high-risk/high-reward projects with strong potential for scientific breakthroughs across all cancer types.",https://www.v.org/,,Jianguo Tao (https://www.notion.so/Jianguo-Tao-1d74e34e337d81628dfdcd29e65fa9f5?pvs=21),,funding,life sciences,"Portfolio/Alumni Size (600+ grants, many translational); Activity/Engagement Level (30+ years); Press/News Presence (500+); Funding Impact ($310M+ in awarded funding)",No,No
National Cancer Institute,Funding Source,,,"Part of the National Institutes of Health (NIH), NCI is the federal government's principal agency for cancer research and training. It funds and conducts research across prevention, diagnosis, treatment, and survivorship, and manages the NCI-Designated Cancer Centers program.",https://www.cancer.gov/,,Jianguo Tao (https://www.notion.so/Jianguo-Tao-1d74e34e337d81628dfdcd29e65fa9f5?pvs=21),,"funding, incubation, networking, training",life sciences,"Portfolio/Alumni Size (250+ startups via SBIR/STTR); Notable Outcomes (FDA drug approvals, acquisitions); Activity/Engagement Level (90+ years); Press/News Presence (1,000+); Funding Impact ($2B+ to commercial cancer research)",No,No
UVA Cancer Center's Accelerating Innovation Fund,Funding Source,,,"An internal UVA funding program that supports high-potential cancer research with commercialization potential. It helps bridge the gap between basic science and translational applications, funding projects that could attract external investment, partnerships, or clinical trials.","https://med.virginia.edu/cancer-research/2024/01/17/uvaccc-accelerating-innovation-fund/#:~:text=The%20UVACCC%20Accelerating%20Innovation%20Fund,at%20the%20University%20of%20Virginia.",,Jianguo Tao (https://www.notion.so/Jianguo-Tao-1d74e34e337d81628dfdcd29e65fa9f5?pvs=21),,"funding, incubation, networking, training",life sciences,"deep tech, impact / social ventures, life sciences, tech",Yes,Yes
UVA Office for Sustainability,University Unit or School,,,"A UVA entity that develops and implements strategies to advance environmental stewardship, climate action, and resource efficiency on campus. It leads initiatives in energy, waste, water, transportation, and student engagement, aligned with UVA's Sustainability Plan and 2030 carbon neutrality goal.",https://sustainability.virginia.edu,"JunkLabZ (https://www.notion.so/JunkLabZ-1d74e34e337d81d490b5d06c1de556de?pvs=21), UVA Sawmill (https://www.notion.so/UVA-Sawmill-1e54e34e337d80cfaf5fc857e91d0bb1?pvs=21)",Zack  Landsman (https://www.notion.so/Zack-Landsman-1d74e34e337d81b09d87f1f7c897c2a6?pvs=21),,"grant support, mentorship, networking, training","climate / cleantech, impact / social ventures","Portfolio/Alumni Size (supports 8�10 student/faculty sustainability projects annually); Activity/Engagement Level (since 2006, ~19 years); Press/News Presence (50+ mentions in UVA Today, sustainability reports); Funding Impact (administers up to $100K/year in project seed grants)",Yes,Yes
Air Force Office of Scientific Research,Funding Source,,,"The basic research division of the U.S. Air Force, AFOSR funds high-risk, high-reward science across physical and biological sciences, engineering, and mathematics. Its mission is to support academic and industry research that can lead to breakthrough technologies for national defense.",https://www.afrl.af.mil/AFOSR/,,Kevin Sullivan (https://www.notion.so/Kevin-Sullivan-1d74e34e337d81bebbc2f0a6c58ac498?pvs=21),,"funding, grant support, incubation, mentorship, networking, training","cybersecurity, deep tech, hardware / manufacturing, space / aerospace",Portfolio/Alumni Size (dozens of dual-use tech ventures funded); Notable Outcomes (SBIR Phase III transitions); Activity/Engagement Level (70+ years); Press/News Presence (500+); Funding Impact ($1B+ research with commercialization potential),No,Yes
Systems Engineering Research Center,University Unit or School,,,"A DoD-funded University Affiliated Research Center (UARC) focused on advancing systems engineering methods and tools for defense applications. Led by Stevens Institute of Technology, SERC conducts applied research with a consortium of top U.S. universities.",https://sercuarc.org/,,Kevin Sullivan (https://www.notion.so/Kevin-Sullivan-1d74e34e337d81bebbc2f0a6c58ac498?pvs=21),,"funding, incubation, networking","deep tech, hardware / manufacturing, software / SaaS","Portfolio/Alumni Size (collaborations with 22 universities, dozens of venture-applicable outcomes); Activity/Engagement Level (15+ years); Press/News Presence (30+)",No,Yes
U.S. Department of Defense,Funding Source,,,"A federal executive department responsible for coordinating and overseeing all agencies and functions of the U.S. military. The DoD funds scientific research, defense innovation, cybersecurity, health research, and engineering through its various branches and research arms like DARPA, ONR, and DTRA.",https://www.defense.gov/,,"Kevin Sullivan (https://www.notion.so/Kevin-Sullivan-1d74e34e337d81bebbc2f0a6c58ac498?pvs=21), Tom Barker (https://www.notion.so/Tom-Barker-1d74e34e337d8160b603df4661f95044?pvs=21)",,"funding, grant support, incubation, networking, training","cybersecurity, deep tech, hardware / manufacturing, space / aerospace","Portfolio/Alumni Size (hundreds of dual-use startups via SBIR/STTR); Notable Outcomes (DoD contracts, spin-outs); Activity/Engagement Level (80+ years); Press/News Presence (3,000+); Funding Impact ($4B+ to defense tech ventures)",No,No
Nuro AI,Private Sector,,,"A robotics and autonomous vehicle startup focused on driverless delivery vehicles for local goods transport. Founded by former Google engineers, Nuro is developing electric self-driving pods optimized for safety, efficiency, and urban logistics, with a focus on groceries, prescriptions, and food.",https://www.nuro.ai/,Madhur Behl’s (https://www.notion.so/Madhur-Behl-s-1d74e34e337d816f9f88ce4646781cae?pvs=21),Mahdur Behl (https://www.notion.so/Mahdur-Behl-1d74e34e337d81449026e3eed482a74d?pvs=21),,"incubation, networking, validation","deep tech, hardware / manufacturing, mobility / transportation, software / SaaS","Portfolio/Alumni Size (1 core venture); Notable Outcomes (>$1B raised, commercial deployment); Activity/Engagement Level (8+ years); Press/News Presence (500+); Funding Impact ($2.1B total raised)",No,No
Commonwealth Cyber Initiative,Entrepreneurship Support Organization,,,"A Virginia state-funded network aimed at establishing the state as a leader in cybersecurity research, innovation, and workforce development. CCI connects universities, industry, and government to foster interdisciplinary cyber-physical systems research, education, and entrepreneurship.",https://cyberinitiative.org/,WiSights (https://www.notion.so/WiSights-1d74e34e337d81639f18db5ed1046d1a?pvs=21),"Mahdur Behl (https://www.notion.so/Mahdur-Behl-1d74e34e337d81449026e3eed482a74d?pvs=21), Cong Shen (https://www.notion.so/Cong-Shen-1d74e34e337d81708d0cd8c0e73c46fe?pvs=21)",,"acceleration, funding, incubation, networking","cybersecurity, deep tech, education / edtech, software / SaaS",Portfolio/Alumni Size (50+ student/faculty-led ventures/projects supported); Activity/Engagement Level (5+ years); Press/News Presence (50+); Funding Impact ($20M+ in applied research and translational grants),No,Yes
U.S. Department of Transportation,Funding Source,,,"The federal agency responsible for overseeing national transportation systems, safety, and infrastructure. It manages agencies such as the Federal Highway Administration (FHWA), FAA, and NHTSA, and funds research and grants to improve mobility, infrastructure resilience, and sustainability.",https://www.transportation.gov/,,Mahdur Behl (https://www.notion.so/Mahdur-Behl-1d74e34e337d81449026e3eed482a74d?pvs=21),,"funding, incubation, networking, training","hardware / manufacturing, mobility / transportation","Portfolio/Alumni Size (dozens of funded university ventures via UTCs/SBIR); Activity/Engagement Level (50+ years); Press/News Presence (1,000+); Funding Impact ($200M+ in startup-supporting research)",No,No
Federal Highway Administration,Funding Source,,,"An agency within the U.S. Department of Transportation that supports the construction, maintenance, and improvement of the nation's highway system. FHWA provides federal funding to states, sets roadway safety and design standards, and leads innovation in transportation infrastructure.",https://highways.dot.gov/,,Mahdur Behl (https://www.notion.so/Mahdur-Behl-1d74e34e337d81449026e3eed482a74d?pvs=21),,"incubation, networking","hardware / manufacturing, mobility / transportation",Portfolio/Alumni Size (limited; supported through academic partnerships); Activity/Engagement Level (50+ years); Press/News Presence (200+),No,No
The MITRE Corporation,Private Sector,,,"A nonprofit organization that operates federally funded research and development centers (FFRDCs) supporting U.S. government agencies in defense, cybersecurity, healthcare, transportation, and AI. MITRE provides systems engineering, R&D, and policy solutions to address complex national challenges.",https://www.mitre.org/,,"Mahdur Behl (https://www.notion.so/Mahdur-Behl-1d74e34e337d81449026e3eed482a74d?pvs=21), Kate Matthew (https://www.notion.so/Kate-Matthew-1d74e34e337d81e0a403de3de192b9d3?pvs=21)",,"incubation, networking","cybersecurity, deep tech, hardware / manufacturing, software / SaaS","Portfolio/Alumni Size (dozens of dual-use spinouts, incubations via MITRE Labs); Notable Outcomes (cybersecurity and health IT spinouts); Activity/Engagement Level (60+ years); Press/News Presence (300+)",No,Yes
Leidos,Private Sector,,,"A U.S.-based defense, aviation, IT, and biomedical research company. Leidos provides technology solutions and services to government agencies, particularly in defense, healthcare, cybersecurity, and engineering. It is one of the largest government contractors in the U.S.",https://www.leidos.com/,,Mahdur Behl (https://www.notion.so/Mahdur-Behl-1d74e34e337d81449026e3eed482a74d?pvs=21),,"funding, networking, validation","cybersecurity, deep tech, life sciences, mobility / transportation, software / SaaS",Portfolio/Alumni Size (20+ spinoff/startup collaborations); Activity/Engagement Level (50+ years); Press/News Presence (500+),No,Yes
Mary Morton Parsons Foundation,Funding Source,,,"A private foundation based in Virginia that provides capital grants to nonprofits across the state. The foundation focuses on funding brick-and-mortar projects such as building renovations, expansions, and restorations, with an emphasis on education, arts, health, and historic preservation.",https://marymortonparsons.org,,Margaret Sande (https://www.notion.so/Margaret-Sande-1d74e34e337d8103929dfff7d8040faf?pvs=21),,funding,"education / edtech, impact / social ventures",Portfolio/Alumni Size (several entrepreneurial projects in VA academic institutions); Activity/Engagement Level (80+ years); Press/News Presence (50+); Funding Impact ($135M+ total grants),No,Yes
UVA School of Medicine,University Unit or School,,,"Part of the University of Virginia's academic medical center, the School of Medicine trains medical students and researchers and conducts clinical and translational research. It emphasizes interdisciplinary education, patient care, and innovation in health sciences.",https://med.virginia.edu/,,"Jianguo Tao (https://www.notion.so/Jianguo-Tao-1d74e34e337d81628dfdcd29e65fa9f5?pvs=21), Margaret Sande (https://www.notion.so/Margaret-Sande-1d74e34e337d8103929dfff7d8040faf?pvs=21), Hui Li (https://www.notion.so/Hui-Li-1d74e34e337d81c7859afc187cce66b6?pvs=21)",,"funding, incubation, mentorship, networking, training",life sciences,"Portfolio/Alumni Size (50+ ventures or IP-based startups spun out); Activity/Engagement Level (200+ years); Press/News Presence (500+); Funding Impact (>$100M/year research, part translated into ventures)",Yes,Yes
UVA Graduate Medical Education,University Unit or School,,,The division responsible for managing residency and fellowship programs at UVA Health. GME ensures that UVA's postgraduate medical education complies with accreditation standards and supports the development of skilled physicians across various specialties.,https://med.virginia.edu/gme/,,Margaret Sande (https://www.notion.so/Margaret-Sande-1d74e34e337d8103929dfff7d8040faf?pvs=21),,"incubation, networking, training",life sciences,"Portfolio/Alumni Size (supports 800+ residents and fellows); Activity/Engagement Level (since accredited ACGME training across 85+ specialties); Press/News Presence (occasional media coverage through UVA Health news, residency spotlights); Funding Impact (offers internal wellness, financial planning and moonlighting support�no venture grant metrics)",Yes,Yes
Claude Moore Medical Education Building,University Unit or School,,,"A modern education facility at the UVA School of Medicine that houses classrooms, simulation labs, lecture halls, and collaborative learning spaces. It supports UVA's integrated medical curriculum and provides advanced tools for teaching and medical training.",https://med.virginia.edu/md-program/admissions/about-uva-school-of-medicine/uva-som-learning-facilities/,,Margaret Sande (https://www.notion.so/Margaret-Sande-1d74e34e337d8103929dfff7d8040faf?pvs=21),,"incubation, networking, training",life sciences,Activity/Engagement Level (13 years); Press/News Presence (4 mentions),Yes,Yes
Robert Wood Johnson Foundation,Funding Source,,,"The largest U.S. philanthropy focused exclusively on health. RWJF funds initiatives to improve public health, health equity, healthcare access, and systems reform. It supports evidence-based research, advocacy, and community engagement to build a culture of health.",https://www.rwjf.org,,Matthew Trowbridge (https://www.notion.so/Matthew-Trowbridge-1d74e34e337d81ca9213dffae6d42425?pvs=21),,"funding, incubation, networking","impact / social ventures, life sciences","Portfolio/Alumni Size (hundreds of funded projects, some venture-oriented); Activity/Engagement Level (50+ years); Press/News Presence (1,000+); Funding Impact ($1B+ total grants)",No,No
U.S. Green Building Council,Private Sector,,,"A nonprofit organization promoting sustainability in building design, construction, and operation. USGBC developed the LEED (Leadership in Energy and Environmental Design) certification system, a globally recognized benchmark for green buildings and environmental performance.",https://www.usgbc.org,,Matthew Trowbridge (https://www.notion.so/Matthew-Trowbridge-1d74e34e337d81ca9213dffae6d42425?pvs=21),,"incubation, networking, training","climate / cleantech, real estate / proptech",Portfolio/Alumni Size (150+ pilot projects via LEED Innovation Credits); Activity/Engagement Level (30+ years); Press/News Presence (500+); Funding Impact ($50M+ green innovation grants & partnerships),No,No
GRESB,Private Sector,,,"An international ESG (Environmental, Social, and Governance) benchmarking organization that assesses the sustainability performance of real estate and infrastructure investments. GRESB provides data and ratings used by institutional investors to evaluate the ESG risks and opportunities of their portfolios.",https://gresb.com,,Matthew Trowbridge (https://www.notion.so/Matthew-Trowbridge-1d74e34e337d81ca9213dffae6d42425?pvs=21),,"networking, training, validation","climate / cleantech, real estate / proptech",Portfolio/Alumni Size (25+ ESG ventures integrated); Activity/Engagement Level (15+ years); Press/News Presence (200+); Funding Impact ($100M+ indirectly through ESG-aligned startups),No,No
Enterprise Community Partners,Entrepreneurship Support Organization,,,"A national nonprofit that addresses affordable housing and community development. It provides capital, policy advocacy, and technical expertise to help build and preserve affordable homes, improve neighborhood equity, and advance climate resilience and racial justice in housing.",https://www.enterprisecommunity.org,,Matthew Trowbridge (https://www.notion.so/Matthew-Trowbridge-1d74e34e337d81ca9213dffae6d42425?pvs=21),,"funding, incubation, networking, training","impact / social ventures, real estate / proptech",Portfolio/Alumni Size (350+ supported ventures and housing innovations); Activity/Engagement Level (40+ years); Press/News Presence (250+); Funding Impact ($43M invested in innovation and affordable housing solutions),No,No
Health Impact Project,Entrepreneurship Support Organization,,,"A collaboration between the Robert Wood Johnson Foundation and The Pew Charitable Trusts, this initiative promotes the use of Health Impact Assessments (HIAs) to inform policies and projects in sectors like housing, transportation, and education, aiming to improve community health outcomes.",https://www.pewtrusts.org/en/projects/health-impact-project,,Matthew Trowbridge (https://www.notion.so/Matthew-Trowbridge-1d74e34e337d81ca9213dffae6d42425?pvs=21),,"funding, incubation, networking","impact / social ventures, life sciences",Portfolio/Alumni Size (25+ pilot initiatives with entrepreneurial potential); Activity/Engagement Level (15+ years); Press/News Presence (20+); Funding Impact (~$8M),No,No
Mithun,Private Sector,,,"A multidisciplinary design firm integrating architecture, landscape architecture, urban design, and interior design. Known for its leadership in sustainable and equity-focused design, Mithun works across education, housing, civic, and commercial sectors to promote environmental and social well-being.",https://mithun.com,,Matthew Trowbridge (https://www.notion.so/Matthew-Trowbridge-1d74e34e337d81ca9213dffae6d42425?pvs=21),,"incubation, networking, validation","climate / cleantech, impact / social ventures, real estate / proptech","Activity/Engagement Level (since 1949, 75+ years); Press/News Presence (widely covered and honored, including AIA Architecture Firm Award 2023)",No,No
American Institute of Architects,Entrepreneurship Support Organization,,,"A professional organization representing licensed architects in the U.S. AIA offers continuing education, advocacy, professional resources, and promotes sustainable, ethical, and inclusive practices in the architecture and built environment industry.",https://www.aia.org,,Matthew Trowbridge (https://www.notion.so/Matthew-Trowbridge-1d74e34e337d81ca9213dffae6d42425?pvs=21),,"funding, networking, training","climate / cleantech, real estate / proptech",Portfolio/Alumni Size (100+ design/innovation initiatives); Activity/Engagement Level (160+ years); Press/News Presence (500+),No,No
Urban Land Institute,Entrepreneurship Support Organization,,,"A global nonprofit that promotes responsible land use and sustainable urban development. ULI provides leadership in real estate and land-use policy through research, best practices, events, and its influential network of professionals in planning, development, and finance.",https://uli.org,,Matthew Trowbridge (https://www.notion.so/Matthew-Trowbridge-1d74e34e337d81ca9213dffae6d42425?pvs=21),,"mentorship, networking, training","climate / cleantech, impact / social ventures, real estate / proptech","Portfolio/Alumni Size (200+ urban innovation projects, many student- or startup-led); Activity/Engagement Level (85+ years); Press/News Presence (500+); Funding Impact (~$10M+ in prize/grant-based support)",No,No
Center for Living Futures,Entrepreneurship Support Organization,,,Likely a reference to the International Living Future Institute (ILFI) or similar sustainable design centers. These organizations promote regenerative design principles and advanced building certifications (like Living Building Challenge) that go beyond sustainability to create net-positive environmental impacts.,https://living-future.org,,Matthew Trowbridge (https://www.notion.so/Matthew-Trowbridge-1d74e34e337d81ca9213dffae6d42425?pvs=21),,"funding, incubation, networking","climate / cleantech, impact / social ventures, real estate / proptech","Portfolio/Alumni Size (certified or registered 800+ regenerative projects globally); Activity/Engagement Level (since at least 2006, ~19 years); Press/News Presence (impact reports cited in sustainability and architectural press); Funding Impact (shifts industry norms through certification programs, with 55M+ sq?ft of projects influencing market transformation)",No,No
International WELL Building Institute,Entrepreneurship Support Organization,,,"An organization that oversees the WELL Building Standard, which certifies buildings based on how they support human health and well-being. It focuses on air, water, light, nutrition, fitness, comfort, and mind-integrating wellness into the design and operation of buildings.",https://www.wellcertified.com,,Matthew Trowbridge (https://www.notion.so/Matthew-Trowbridge-1d74e34e337d81ca9213dffae6d42425?pvs=21),,"networking, training, validation","climate / cleantech, life sciences, real estate / proptech",Portfolio/Alumni Size (100+ WELL pilot innovations); Activity/Engagement Level (10+ years); Press/News Presence (100+),No,No
Joint Call to Action,Private Sector,,,"A coordinated initiative, typically involving multiple stakeholders (e.g., nonprofits, firms, agencies), calling for urgent collaborative action on key social or environmental issues. Depending on context, this could refer to a specific published call on climate, health equity, or housing justice.",https://healthybuiltenvironment.org,,Matthew Trowbridge (https://www.notion.so/Matthew-Trowbridge-1d74e34e337d81ca9213dffae6d42425?pvs=21),,"networking, training, validation","climate / cleantech, impact / social ventures, real estate / proptech","Activity/Engagement Level (initiated circa 2018�2020 as collaborative advocacy campaigns); Press/News Presence (multiple global initiatives across UN, ICC, WHO on health, digital trade, gender equity)",No,No
World Green Building Council,Entrepreneurship Support Organization,,,"A global network of national Green Building Councils advancing sustainable building practices worldwide. WorldGBC advocates for net-zero buildings, healthier environments, and green building policy, uniting industry and government to transform the built environment.",https://www.worldgbc.org,,Matthew Trowbridge (https://www.notion.so/Matthew-Trowbridge-1d74e34e337d81ca9213dffae6d42425?pvs=21),,"funding, incubation, networking","climate / cleantech, real estate / proptech",Portfolio/Alumni Size (100+ programs across 70+ countries with venture potential); Activity/Engagement Level (25+ years); Press/News Presence (300+),No,No
Global Reporting Initiative,Entrepreneurship Support Organization,,,"An international independent standards organization that helps businesses, governments, and other entities report their environmental, social, and governance (ESG) impacts. GRI's widely used sustainability reporting standards aim to enhance transparency and accountability across industries.",https://www.globalreporting.org,,Matthew Trowbridge (https://www.notion.so/Matthew-Trowbridge-1d74e34e337d81ca9213dffae6d42425?pvs=21),,"networking, training, validation","climate / cleantech, impact / social ventures",Portfolio/Alumni Size (200+ partner initiatives); Activity/Engagement Level (25+ years); Press/News Presence (500+),No,No
UVA Democracy Initiative,University Unit or School,,,"A flagship interdisciplinary program at the University of Virginia that promotes the study and advancement of democracy around the world. It brings together scholars, policymakers, and students to examine democratic institutions, civic engagement, political polarization, and threats to democratic governance.",https://democracyinitiative.virginia.edu,,Michael Gilbert (https://www.notion.so/Michael-Gilbert-1e54e34e337d80d18adbebbec5dd9311?pvs=21),,"incubation, networking",impact / social ventures,"Activity/Engagement Level (Board-approved Jun?2017 � June?2022); Press/News Presence (multiple internal UVA news articles, Ministerial media coverage); Funding Impact ($10M matching Strategic Investment Fund + $10M+ philanthropic match)",Yes,Yes
Karsh Institute of Democracy,University Unit or School,,,"An institute at UVA launched with a gift from Martha and Bruce Karsh to support the Democracy Initiative. It fosters public dialogue, research, and education focused on democratic resilience, civic education, civil discourse, and the health of democratic institutions.",https://karshinstitute.virginia.edu,,Michael Gilbert (https://www.notion.so/Michael-Gilbert-1e54e34e337d80d18adbebbec5dd9311?pvs=21),,"incubation, networking",impact / social ventures,"Activity/Engagement Level (launched 2021, ~4 years); Press/News Presence (news articles for Democracy360 programs and �topping out� building event�10+ mentions in UVA Today, VPM, FT); Funding Impact ($50M Karsh gift matched by $50M UVA, $100M+ campaign) ",Yes,Yes
Mellon Foundation,Funding Source,,,"The largest funder of the arts and humanities in the U.S., the Andrew W. Mellon Foundation supports higher education, cultural heritage, social justice, and public knowledge initiatives. It prioritizes equity, access, and collaboration across cultural and academic institutions.",https://mellon.org,,Michael Gilbert (https://www.notion.so/Michael-Gilbert-1e54e34e337d80d18adbebbec5dd9311?pvs=21),,"funding, networking","education / edtech, impact / social ventures","Portfolio/Alumni Size (300+ funded interdisciplinary and innovation-driven projects); Activity/Engagement Level (50+ years); Press/News Presence (300+); Funding Impact ($1B+ philanthropic funding, incl. venture-like cultural innovation)",No,No
University Cooperative Research Center,University Unit or School,,,"A program that builds collaborative research partnerships between universities and industry. IUCRCs conduct pre-competitive, industry-relevant research in areas like engineering, materials science, and data analytics, helping translate academic innovation into market-ready solutions.",https://iucrc.nsf.gov/,,Mool Gupta (https://www.notion.so/Mool-Gupta-1d74e34e337d813f9ffbd67cfc896d15?pvs=21),,"funding, grant support, incubation, networking, training","deep tech, hardware / manufacturing, life sciences, software / SaaS",Portfolio/Alumni Size (100+ academic�industry ventures); Activity/Engagement Level (30+ years); Press/News Presence (100+); Funding Impact (~$500M cumulative federal/industry support),No,No
Northrop Grumman Corporation,Private Sector,,,"A major U.S. aerospace and defense contractor that develops advanced systems in areas like autonomous systems, cybersecurity, space, and military aircraft. It is a key supplier to the U.S. government and contributes to technology innovation through industry-university research partnerships.",https://www.northropgrumman.com,,Mool Gupta (https://www.notion.so/Mool-Gupta-1d74e34e337d813f9ffbd67cfc896d15?pvs=21),,"networking, validation","cybersecurity, deep tech, hardware / manufacturing, space / aerospace","Portfolio/Alumni Size (200+ funded startups or tech-transfer partnerships); Notable Outcomes (20+ spinouts/contract awards); Activity/Engagement Level (90+ years); Press/News Presence (1,000+); Funding Impact ($500M+ R&D investments tied to startups)",No,Yes
Natcore Solar,Private Sector,,,"A renewable energy technology company developing black silicon and thin-film solar technologies to reduce the cost and improve the efficiency of solar panels. Natcore aims to commercialize environmentally friendly, high-performance solar manufacturing processes.",https://www.natcoresolar.com,,Mool Gupta (https://www.notion.so/Mool-Gupta-1d74e34e337d813f9ffbd67cfc896d15?pvs=21),,validation,"climate / cleantech, hardware / manufacturing",Portfolio/Alumni Size (3+ startups/incubator activities); Press/News Presence (30+); Funding Impact (~$6M raised),No,No
NASA Langley Research Center,Entrepreneurship Support Organization,,,"A NASA field center located in Hampton, Virginia, specializing in aeronautics, space exploration, atmospheric science, and advanced materials research. Langley is one of NASA's oldest centers and plays a key role in aircraft design, planetary missions, and climate modeling.",https://www.nasa.gov/langley,,Mool Gupta (https://www.notion.so/Mool-Gupta-1d74e34e337d813f9ffbd67cfc896d15?pvs=21),,"funding, incubation, networking, validation","climate / cleantech, deep tech, space / aerospace",Portfolio/Alumni Size (150+ tech transfer licenses); Notable Outcomes (10+ spinouts); Activity/Engagement Level (100+ years); Press/News Presence (500+); Funding Impact ($100M+ licensed/commercialized tech value),No,Yes
Office of Energy Efficiency & Renewable Energy,Funding Source,,,"A division of the U.S. Department of Energy focused on accelerating the development and deployment of clean energy technologies. EERE funds R&D in areas such as solar, wind, buildings, electric vehicles, energy storage, and industrial efficiency to advance decarbonization.",https://www.energy.gov/eere/office-energy-efficiency-and-renewable-energy?nrg_redirect=467275,,Mool Gupta (https://www.notion.so/Mool-Gupta-1d74e34e337d813f9ffbd67cfc896d15?pvs=21),,"funding, grant support, incubation, networking","climate / cleantech, hardware / manufacturing","Portfolio/Alumni Size (800+ startup projects via SBIR, Lab-Embedded Entrepreneurship, etc.); Notable Outcomes (50+ exits); Activity/Engagement Level (40+ years); Press/News Presence (1,000+); Funding Impact ($500M+ annually to clean energy ventures)",No,No
National Institute of General Medical Sciences,Funding Source,,,"A component of the National Institutes of Health, NIGMS funds basic research that increases understanding of biological processes and lays the foundation for advances in disease diagnosis, treatment, and prevention. It also supports training for biomedical scientists at all career stages.",https://www.nigms.nih.gov,,"Hui Li (https://www.notion.so/Hui-Li-1d74e34e337d81c7859afc187cce66b6?pvs=21), Tom Barker (https://www.notion.so/Tom-Barker-1d74e34e337d8160b603df4661f95044?pvs=21)",,"funding, incubation, networking, training",life sciences,Portfolio/Alumni Size (500+ biotech ventures supported via SBIR); Notable Outcomes (25+ major exits); Activity/Engagement Level (60+ years); Press/News Presence (300+); Funding Impact ($1B+ cumulative SBIR/innovation funding),No,No
Stand Up To Cancer,Funding Source,,,"A nonprofit initiative that funds collaborative, translational cancer research aimed at getting new therapies to patients quickly. SU2C forms multi-institutional ""Dream Teams"" of scientists and clinicians, accelerating innovation across cancer types through high-impact, cross-disciplinary research.",https://standuptocancer.org,,Hui Li (https://www.notion.so/Hui-Li-1d74e34e337d81c7859afc187cce66b6?pvs=21),,"funding, incubation, networking",life sciences,"Portfolio/Alumni Size (20+ research-to-commercialization transitions); Notable Outcomes (collaborations with pharma); Activity/Engagement Level (15+ years); Press/News Presence (1,000+); Funding Impact ($700M+ in funding, part supporting translational startups)",No,No
American Cancer Society,Funding Source,,,"One of the largest and most established nonprofits dedicated to eliminating cancer as a major health problem. ACS funds cancer research, provides patient support services, promotes early detection and prevention, and advocates for public policies to fight cancer.",https://www.cancer.org,,"Hui Li (https://www.notion.so/Hui-Li-1d74e34e337d81c7859afc187cce66b6?pvs=21), Jetze Tepe (https://www.notion.so/Jetze-Tepe-1d74e34e337d8146a588d3168224c9a9?pvs=21)",,"funding, incubation, networking, training",life sciences,"Portfolio/Alumni Size (100+ translational research projects); Activity/Engagement Level (100+ years); Press/News Presence (1,000+); Funding Impact ($5B+ lifetime research funding including early-stage commercialization support)",No,No
St. Baldrick's Foundation,Funding Source,,,"A nonprofit focused exclusively on funding childhood cancer research. Known for its signature head-shaving events, St. Baldrick's supports innovative pediatric oncology research, fellowships, and clinical trials aimed at finding cures and better treatments for children with cancer.",https://www.stbaldricks.org,,,,"funding, incubation, networking",life sciences,Portfolio/Alumni Size (40+ early-stage research grants with venture potential); Activity/Engagement Level (20+ years); Press/News Presence (250+); Funding Impact ($340M+ total),No,No
UVA Cancer Center Accelerating Innovation Fund,University Unit or School,,,An internal UVA initiative that provides seed funding for cancer research projects with commercial potential or capacity to secure future external funding. It supports novel ideas that bridge the gap between lab discovery and clinical or industry application.,https://med.virginia.edu/cancer-center/accelerating-innovation-fund/,,Hui Li (https://www.notion.so/Hui-Li-1d74e34e337d81c7859afc187cce66b6?pvs=21),,"funding, incubation, validation",life sciences,Portfolio/Alumni Size (5�10 translational venture candidates); Activity/Engagement Level (5+ years); Press/News Presence (5+); Funding Impact (~$1.5M pre-seed/seed),Yes,Yes
UVA Health Foundation,University Unit or School,,,"The fundraising and philanthropic arm of UVA Health. It raises funds to support patient care, education, research, and innovation across UVA Medical Center, School of Medicine, and other health system entities, aligning donor interests with institutional priorities.",https://giving.uvahealth.com,,Hui Li (https://www.notion.so/Hui-Li-1d74e34e337d81c7859afc187cce66b6?pvs=21),,"funding, networking",life sciences,"Activity/Engagement Level (ongoing fundraising activity); Press/News Presence (at least 1 major milestone article); Funding Impact (FY?2023 donations totaled $181M toward $1B campaign; $50M gift for Manning Biotech Institute, part of $350M overall funding)",Yes,Yes
Defense Advanced Research Projects Agency,Funding Source,,,"A research agency within the U.S. Department of Defense that develops emerging technologies for national security. DARPA funds high-risk, high-reward innovation in areas such as biotechnology, AI, robotics, defense systems, and space, often serving as a first-mover in disruptive R&D.",https://www.darpa.mil/,,"Peter Youngs (https://www.notion.so/Peter-Youngs-1e04e34e337d802eb7e8dc616903bf83?pvs=21), Valentin Romanovski (https://www.notion.so/Valentin-Romanovski-1d74e34e337d817ab12cd4d130bda9b5?pvs=21)",,"grant support, incubation, networking","cybersecurity, deep tech, hardware / manufacturing, life sciences, software / SaaS","Portfolio/Alumni Size (400+ venture-backed or dual-use innovations); Notable Outcomes (100+ exits/tech transitions); Activity/Engagement Level (60+ years); Press/News Presence (1,000+); Funding Impact ($4B+/year including venture-enabling research)",No,Yes
